date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2022-02-19,-4.51,6.06,450,"1992-02-12 2021-02-26",84.6,9.09,450,"1992-02-12 2021-02-26",0.11,5.64,450,"1992-02-12 2021-02-26",31.07,11.6,450,"1992-02-12 2021-02-26",-12.07,6.76,450,"1992-02-12 2021-02-26",58.06,12,450,"1992-02-12 2021-02-26",-8.09,6.17,450,"1992-02-12 2021-02-26",5.96,5.64,450,"1992-02-12 2021-02-26",1.81,3.85,445,"1992-02-12 2021-02-26",0.94,3.13,445,"1992-02-12 2021-02-26",0.93,2.19,447,"1992-02-12 2021-02-26",5.8,7.78,429,"1992-02-12 2021-02-26",,,,
2022-02-18,-4.59,6.09,450,"1992-02-11 2021-02-25",84.57,9.01,450,"1992-02-11 2021-02-25",-0.06,5.6,450,"1992-02-11 2021-02-25",31.2,11.52,450,"1992-02-11 2021-02-25",-12.27,6.82,450,"1992-02-11 2021-02-25",58.19,11.81,450,"1992-02-11 2021-02-25",-8.29,6.22,450,"1992-02-11 2021-02-25",5.98,5.54,450,"1992-02-11 2021-02-25",1.75,3.9,445,"1992-02-11 2021-02-25",0.95,3.3,445,"1992-02-11 2021-02-25",0.85,2.06,447,"1992-02-11 2021-02-25",6,7.89,430,"1992-02-11 2021-02-25",,,,
2022-02-17,-4.69,6.03,450,"1992-02-10 2021-02-24",84.69,8.89,450,"1992-02-10 2021-02-24",-0.22,5.49,450,"1992-02-10 2021-02-24",30.99,11.47,450,"1992-02-10 2021-02-24",-12.37,6.81,450,"1992-02-10 2021-02-24",58.44,11.73,450,"1992-02-10 2021-02-24",-8.42,6.17,450,"1992-02-10 2021-02-24",5.95,5.51,450,"1992-02-10 2021-02-24",1.7,3.84,445,"1992-02-10 2021-02-24",0.88,3.19,445,"1992-02-10 2021-02-24",0.88,2.09,447,"1992-02-10 2021-02-24",6.2,8.01,431,"1992-02-10 2021-02-24",,,,
2022-02-16,-4.87,6.05,450,"1992-02-09 2021-02-23",84.63,8.8,450,"1992-02-09 2021-02-23",-0.41,5.5,450,"1992-02-09 2021-02-23",30.86,11.31,450,"1992-02-09 2021-02-23",-12.5,6.73,450,"1992-02-09 2021-02-23",58.77,11.82,450,"1992-02-09 2021-02-23",-8.6,6.08,450,"1992-02-09 2021-02-23",5.97,5.54,450,"1992-02-09 2021-02-23",1.66,3.77,445,"1992-02-09 2021-02-23",0.79,3.1,445,"1992-02-09 2021-02-23",0.92,2.16,447,"1992-02-09 2021-02-23",6.3,8.13,434,"1992-02-09 2021-02-23",,,,
2022-02-15,-5.05,6.02,450,"1992-02-08 2021-02-22",84.66,8.51,450,"1992-02-08 2021-02-22",-0.65,5.46,450,"1992-02-08 2021-02-22",30.8,11.25,450,"1992-02-08 2021-02-22",-12.75,6.65,450,"1992-02-08 2021-02-22",58.9,11.68,450,"1992-02-08 2021-02-22",-8.85,6.01,450,"1992-02-08 2021-02-22",6.08,5.57,450,"1992-02-08 2021-02-22",1.78,4.31,443,"1992-02-08 2021-02-22",0.83,3.17,443,"1992-02-08 2021-02-22",1.02,2.67,446,"1992-02-08 2021-02-22",6.4,8.19,437,"1992-02-08 2021-02-22",,,,
2022-02-14,-5.16,6.01,450,"1992-02-07 2021-02-21",84.77,8.15,450,"1992-02-07 2021-02-21",-0.8,5.46,450,"1992-02-07 2021-02-21",30.97,11.07,450,"1992-02-07 2021-02-21",-12.86,6.57,450,"1992-02-07 2021-02-21",59.04,11.36,450,"1992-02-07 2021-02-21",-9.01,5.97,450,"1992-02-07 2021-02-21",6.07,5.61,450,"1992-02-07 2021-02-21",1.77,4.3,444,"1992-02-07 2021-02-21",0.84,3.22,444,"1992-02-07 2021-02-21",1,2.64,446,"1992-02-07 2021-02-21",6.5,8.34,440,"1992-02-07 2021-02-21",,,,
2022-02-13,-5.45,5.92,450,"1992-02-06 2021-02-20",84.62,8.01,450,"1992-02-06 2021-02-20",-1.06,5.4,450,"1992-02-06 2021-02-20",30.96,10.96,450,"1992-02-06 2021-02-20",-13,6.52,450,"1992-02-06 2021-02-20",59.21,11.06,450,"1992-02-06 2021-02-20",-9.19,5.95,450,"1992-02-06 2021-02-20",6.21,5.64,450,"1992-02-06 2021-02-20",1.78,4.47,445,"1992-02-06 2021-02-20",0.78,3.11,445,"1992-02-06 2021-02-20",1.06,2.96,447,"1992-02-06 2021-02-20",6.6,8.5,444,"1992-02-06 2021-02-20",,,,
2022-02-12,-5.63,5.81,450,"1992-02-05 2021-02-19",84.55,7.94,450,"1992-02-05 2021-02-19",-1.29,5.31,450,"1992-02-05 2021-02-19",31.14,11.03,450,"1992-02-05 2021-02-19",-13.33,6.39,450,"1992-02-05 2021-02-19",59.07,10.81,450,"1992-02-05 2021-02-19",-9.44,5.88,450,"1992-02-05 2021-02-19",6.3,5.74,450,"1992-02-05 2021-02-19",1.73,4.42,445,"1992-02-05 2021-02-19",0.71,3,445,"1992-02-05 2021-02-19",1.1,3.05,447,"1992-02-05 2021-02-19",6.7,8.6,445,"1992-02-05 2021-02-19",,,,
2022-02-11,-5.7,5.8,450,"1992-02-04 2021-02-18",84.64,7.91,450,"1992-02-04 2021-02-18",-1.41,5.23,450,"1992-02-04 2021-02-18",31.32,11.15,450,"1992-02-04 2021-02-18",-13.41,6.33,450,"1992-02-04 2021-02-18",59.04,10.75,450,"1992-02-04 2021-02-18",-9.53,5.85,450,"1992-02-04 2021-02-18",6.23,5.7,450,"1992-02-04 2021-02-18",1.79,4.52,446,"1992-02-04 2021-02-16",0.75,3.11,446,"1992-02-04 2021-02-16",1.12,3.03,447,"1992-02-04 2021-02-16",6.8,8.68,444,"1992-02-04 2021-02-18",,,,
2022-02-10,-5.7,5.76,450,"1992-02-03 2021-02-17",84.7,7.78,450,"1992-02-03 2021-02-17",-1.41,5.17,450,"1992-02-03 2021-02-17",31.08,10.99,450,"1992-02-03 2021-02-17",-13.35,6.35,450,"1992-02-03 2021-02-17",59.16,10.61,450,"1992-02-03 2021-02-17",-9.51,5.87,450,"1992-02-03 2021-02-17",6.21,5.76,450,"1992-02-03 2021-02-17",1.78,4.52,447,"1992-02-03 2021-02-16",0.78,3.17,447,"1992-02-03 2021-02-16",1.08,3.01,448,"1992-02-03 2021-02-16",6.9,8.8,443,"1992-02-03 2021-02-17",,,,
2022-02-09,-5.73,5.75,450,"1992-02-02 2021-02-16",84.72,7.79,450,"1992-02-02 2021-02-16",-1.47,5.18,450,"1992-02-02 2021-02-16",31.02,10.9,450,"1992-02-02 2021-02-16",-13.32,6.38,450,"1992-02-02 2021-02-16",59.46,10.6,450,"1992-02-02 2021-02-16",-9.51,5.89,450,"1992-02-02 2021-02-16",6.28,5.81,450,"1992-02-02 2021-02-16",1.72,4.33,448,"1992-02-02 2021-02-16",0.69,2.86,448,"1992-02-02 2021-02-16",1.11,3.07,449,"1992-02-02 2021-02-16",7,8.81,443,"1992-02-02 2021-02-16",,,,
2022-02-08,-5.69,5.77,450,"1992-02-01 2021-02-15",84.74,7.73,450,"1992-02-01 2021-02-15",-1.43,5.2,450,"1992-02-01 2021-02-15",31.15,11.12,450,"1992-02-01 2021-02-15",-13.31,6.35,450,"1992-02-01 2021-02-15",59.53,10.43,450,"1992-02-01 2021-02-15",-9.51,5.86,450,"1992-02-01 2021-02-15",6.56,5.88,450,"1992-02-01 2021-02-15",1.66,4.32,448,"1992-02-01 2021-02-15",0.66,2.8,448,"1992-02-01 2021-02-15",1.07,3.08,449,"1992-02-01 2021-02-15",7.1,8.86,442,"1992-02-01 2021-02-15",,,,
2022-02-07,-5.7,5.77,450,"1992-01-31 2021-02-14",84.87,7.68,450,"1992-01-31 2021-02-14",-1.48,5.17,450,"1992-01-31 2021-02-14",31,11.23,450,"1992-01-31 2021-02-14",-13.32,6.28,450,"1992-01-31 2021-02-14",59.76,10.37,450,"1992-01-31 2021-02-14",-9.56,5.82,450,"1992-01-31 2021-02-14",6.5,5.91,450,"1992-01-31 2021-02-14",1.65,4.28,448,"1992-01-31 2021-02-14",0.61,2.67,448,"1992-01-31 2021-02-14",1.11,3.16,449,"1992-01-31 2021-02-14",7.2,8.92,441,"1992-01-31 2021-02-14",,,,
2022-02-06,-5.68,5.87,450,"1992-01-30 2021-02-13",85.17,7.64,450,"1992-01-30 2021-02-13",-1.51,5.26,450,"1992-01-30 2021-02-13",31.07,11.31,450,"1992-01-30 2021-02-13",-13.3,6.32,450,"1992-01-30 2021-02-13",59.89,10.52,450,"1992-01-30 2021-02-13",-9.6,5.88,450,"1992-01-30 2021-02-13",6.52,5.83,450,"1992-01-30 2021-02-13",1.63,4.26,448,"1992-01-30 2021-02-13",0.61,2.63,448,"1992-01-30 2021-02-13",1.1,3.17,449,"1992-01-30 2021-02-13",7.2,9.01,438,"1992-01-30 2021-02-13",,,,
2022-02-05,-5.54,5.93,450,"1992-01-29 2021-02-12",85.4,7.64,450,"1992-01-29 2021-02-12",-1.42,5.25,450,"1992-01-29 2021-02-12",30.84,11.29,450,"1992-01-29 2021-02-12",-13.11,6.35,450,"1992-01-29 2021-02-12",60.39,10.78,450,"1992-01-29 2021-02-12",-9.48,5.9,450,"1992-01-29 2021-02-12",6.46,5.87,450,"1992-01-29 2021-02-12",1.71,4.36,448,"1992-01-29 2021-02-12",0.69,2.81,448,"1992-01-29 2021-02-12",1.09,3.16,449,"1992-01-29 2021-02-12",7.3,9.15,437,"1992-01-29 2021-02-12",,,,
2022-02-04,-5.51,5.9,450,"1992-01-28 2021-02-11",85.48,7.75,450,"1992-01-28 2021-02-11",-1.38,5.25,450,"1992-01-28 2021-02-11",30.5,11.15,450,"1992-01-28 2021-02-11",-12.93,6.36,450,"1992-01-28 2021-02-11",60.63,10.95,450,"1992-01-28 2021-02-11",-9.32,5.92,450,"1992-01-28 2021-02-11",6.35,5.78,450,"1992-01-28 2021-02-11",1.71,4.37,448,"1992-01-28 2021-02-11",0.68,2.82,448,"1992-01-28 2021-02-11",1.12,3.31,449,"1992-01-28 2021-02-11",7.3,9.24,436,"1992-01-28 2021-02-11",,,,
2022-02-03,-5.42,5.9,450,"1992-01-27 2021-02-10",85.65,7.75,450,"1992-01-27 2021-02-10",-1.3,5.28,450,"1992-01-27 2021-02-10",30.38,11.18,450,"1992-01-27 2021-02-10",-12.85,6.33,450,"1992-01-27 2021-02-10",60.83,11.1,450,"1992-01-27 2021-02-10",-9.26,5.91,450,"1992-01-27 2021-02-10",6.42,5.93,450,"1992-01-27 2021-02-10",1.8,4.42,448,"1992-01-27 2021-02-10",0.7,2.77,448,"1992-01-27 2021-02-10",1.19,3.4,449,"1992-01-27 2021-02-10",7.3,9.26,435,"1992-01-27 2021-02-10",,,,
2022-02-02,-5.53,5.94,450,"1992-01-26 2021-02-09",85.51,7.83,450,"1992-01-26 2021-02-09",-1.41,5.35,450,"1992-01-26 2021-02-09",30.27,10.94,450,"1992-01-26 2021-02-09",-12.9,6.43,450,"1992-01-26 2021-02-09",60.75,11.05,450,"1992-01-26 2021-02-09",-9.29,6.02,450,"1992-01-26 2021-02-09",6.5,6.07,450,"1992-01-26 2021-02-09",1.8,4.42,448,"1992-01-26 2021-02-09",0.72,2.77,448,"1992-01-26 2021-02-09",1.2,3.48,449,"1992-01-26 2021-02-09",7.3,9.16,434,"1992-01-26 2021-02-09",,,,
2022-02-01,-5.51,5.92,450,"1992-01-25 2021-02-08",85.51,7.94,450,"1992-01-25 2021-02-08",-1.45,5.3,450,"1992-01-25 2021-02-08",30.27,10.91,450,"1992-01-25 2021-02-08",-12.94,6.49,450,"1992-01-25 2021-02-08",60.7,10.98,450,"1992-01-25 2021-02-08",-9.32,6.09,450,"1992-01-25 2021-02-08",6.45,6.19,450,"1992-01-25 2021-02-08",1.77,4.35,448,"1992-01-25 2021-02-08",0.72,2.68,448,"1992-01-25 2021-02-08",1.17,3.45,449,"1992-01-25 2021-02-08",7.1,9.05,432,"1992-01-25 2021-02-08",,,,
2022-01-31,-5.32,5.94,450,"1992-01-24 2021-02-07",85.68,8.08,450,"1992-01-24 2021-02-07",-1.35,5.28,450,"1992-01-24 2021-02-07",30.44,10.78,450,"1992-01-24 2021-02-07",-12.89,6.59,450,"1992-01-24 2021-02-07",60.75,10.79,450,"1992-01-24 2021-02-07",-9.25,6.17,450,"1992-01-24 2021-02-07",6.37,6.11,450,"1992-01-24 2021-02-07",1.7,3.91,449,"1992-01-24 2021-02-07",0.73,2.74,449,"1992-01-24 2021-02-07",1.09,3.09,449,"1992-01-24 2021-02-07",7.1,8.97,429,"1992-01-24 2021-02-07",,,,
2022-01-30,-5.26,6.15,450,"1992-01-23 2021-02-06",85.87,8.2,450,"1992-01-23 2021-02-06",-1.33,5.44,450,"1992-01-23 2021-02-06",30.34,10.74,450,"1992-01-23 2021-02-06",-12.83,6.81,450,"1992-01-23 2021-02-06",60.82,10.88,450,"1992-01-23 2021-02-06",-9.16,6.35,450,"1992-01-23 2021-02-06",6.41,6.01,450,"1992-01-23 2021-02-06",1.77,3.97,448,"1992-01-23 2021-02-06",0.79,2.79,448,"1992-01-23 2021-02-06",1.08,3.09,448,"1992-01-23 2021-02-06",7,8.83,428,"1992-01-23 2021-02-06",,,,
2022-01-29,-5.18,6.2,450,"1992-01-22 2021-02-05",85.97,8.17,450,"1992-01-22 2021-02-05",-1.3,5.51,450,"1992-01-22 2021-02-05",30.3,10.85,450,"1992-01-22 2021-02-05",-12.83,6.95,450,"1992-01-22 2021-02-05",60.9,11.01,450,"1992-01-22 2021-02-05",-9.2,6.44,450,"1992-01-22 2021-02-05",6.33,5.92,450,"1992-01-22 2021-02-05",1.73,3.71,448,"1992-01-22 2021-02-05",0.81,2.81,448,"1992-01-22 2021-02-05",1.03,2.79,448,"1992-01-22 2021-02-05",6.9,8.71,428,"1992-01-22 2021-02-05",,,,
2022-01-28,-5.31,6.34,450,"1992-01-21 2021-02-04",85.98,8.18,450,"1992-01-21 2021-02-04",-1.41,5.59,450,"1992-01-21 2021-02-04",29.91,10.74,450,"1992-01-21 2021-02-04",-12.83,7.06,450,"1992-01-21 2021-02-04",61.08,10.99,450,"1992-01-21 2021-02-04",-9.29,6.53,450,"1992-01-21 2021-02-04",6.18,5.73,450,"1992-01-21 2021-02-04",1.72,3.72,448,"1992-01-21 2021-02-04",0.85,2.87,448,"1992-01-21 2021-02-04",0.98,2.67,448,"1992-01-21 2021-02-04",6.9,8.65,429,"1992-01-21 2021-02-04",,,,
2022-01-27,-5.52,6.41,450,"1992-01-20 2021-02-03",85.97,8.12,450,"1992-01-20 2021-02-03",-1.61,5.65,450,"1992-01-20 2021-02-03",29.71,10.56,450,"1992-01-20 2021-02-03",-13,7.16,450,"1992-01-20 2021-02-03",61.1,11.06,450,"1992-01-20 2021-02-03",-9.47,6.61,450,"1992-01-20 2021-02-03",6.24,5.75,450,"1992-01-20 2021-02-03",1.67,3.82,448,"1992-01-20 2021-02-03",0.82,3.06,448,"1992-01-20 2021-02-03",0.96,2.66,448,"1992-01-20 2021-02-03",6.8,8.57,431,"1992-01-20 2021-02-03",,,,
2022-01-26,-5.59,6.45,450,"1992-01-19 2021-02-02",85.9,8.14,450,"1992-01-19 2021-02-02",-1.72,5.65,450,"1992-01-19 2021-02-02",29.95,10.57,450,"1992-01-19 2021-02-02",-13.15,7.14,450,"1992-01-19 2021-02-02",61.25,11.04,450,"1992-01-19 2021-02-02",-9.62,6.59,450,"1992-01-19 2021-02-02",6.43,5.73,450,"1992-01-19 2021-02-02",1.64,3.8,448,"1992-01-19 2021-02-02",0.79,3.04,448,"1992-01-19 2021-02-02",0.96,2.65,448,"1992-01-19 2021-02-02",6.7,8.52,432,"1992-01-19 2021-02-02",,,,
2022-01-25,-5.55,6.54,450,"1992-01-18 2021-02-01",86.14,8.18,450,"1992-01-18 2021-02-01",-1.74,5.74,450,"1992-01-18 2021-02-01",30.07,10.56,450,"1992-01-18 2021-02-01",-13.13,7.28,450,"1992-01-18 2021-02-01",61.25,11.23,450,"1992-01-18 2021-02-01",-9.58,6.67,450,"1992-01-18 2021-02-01",6.46,5.72,450,"1992-01-18 2021-02-01",1.68,3.84,448,"1992-01-18 2021-02-01",0.82,3.07,448,"1992-01-18 2021-02-01",0.98,2.7,448,"1992-01-18 2021-02-01",6.6,8.49,432,"1992-01-18 2021-02-01",,,,
2022-01-24,-5.54,6.58,450,"1992-01-17 2021-01-31",86.24,8.27,450,"1992-01-17 2021-01-31",-1.79,5.74,450,"1992-01-17 2021-01-31",30.06,10.41,450,"1992-01-17 2021-01-31",-13.24,7.41,450,"1992-01-17 2021-01-31",61.53,11.38,450,"1992-01-17 2021-01-31",-9.67,6.77,450,"1992-01-17 2021-01-31",6.28,5.65,450,"1992-01-17 2021-01-31",1.73,3.85,448,"1992-01-17 2021-01-31",0.9,3.23,448,"1992-01-17 2021-01-31",0.96,2.58,448,"1992-01-17 2021-01-31",6.5,8.56,431,"1992-01-17 2021-01-31",,,,
2022-01-23,-5.53,6.52,450,"1992-01-16 2021-01-30",86.23,8.29,450,"1992-01-16 2021-01-30",-1.81,5.71,450,"1992-01-16 2021-01-30",30.32,10.46,450,"1992-01-16 2021-01-30",-13.33,7.48,450,"1992-01-16 2021-01-30",61.43,11.34,450,"1992-01-16 2021-01-30",-9.74,6.82,450,"1992-01-16 2021-01-30",6.41,5.6,450,"1992-01-16 2021-01-30",1.73,3.83,448,"1992-01-16 2021-01-30",0.93,3.29,448,"1992-01-16 2021-01-30",0.93,2.49,448,"1992-01-16 2021-01-30",6.4,8.76,431,"1992-01-16 2021-01-29",,,,
2022-01-22,-5.58,6.58,450,"1992-01-15 2021-01-29",86.18,8.24,450,"1992-01-15 2021-01-29",-1.88,5.77,450,"1992-01-15 2021-01-29",30.19,10.2,450,"1992-01-15 2021-01-29",-13.24,7.53,450,"1992-01-15 2021-01-29",61.75,11.34,450,"1992-01-15 2021-01-29",-9.66,6.86,450,"1992-01-15 2021-01-29",6.36,5.47,450,"1992-01-15 2021-01-29",1.88,4.3,448,"1992-01-15 2021-01-29",1.03,3.82,448,"1992-01-15 2021-01-29",0.98,2.54,448,"1992-01-15 2021-01-29",6.4,8.93,431,"1992-01-15 2021-01-29",,,,
2022-01-21,-5.55,6.66,450,"1992-01-14 2021-01-28",86.29,8.23,450,"1992-01-14 2021-01-28",-1.88,5.86,450,"1992-01-14 2021-01-28",30.2,10.32,450,"1992-01-14 2021-01-28",-13.27,7.61,450,"1992-01-14 2021-01-28",61.72,11.16,450,"1992-01-14 2021-01-28",-9.7,6.92,450,"1992-01-14 2021-01-28",6.26,5.42,450,"1992-01-14 2021-01-28",1.85,4.3,448,"1992-01-14 2021-01-28",0.97,3.71,448,"1992-01-14 2021-01-28",1.01,2.66,448,"1992-01-14 2021-01-28",6.2,8.77,431,"1992-01-14 2021-01-28",,,,
2022-01-20,-5.35,6.84,450,"1992-01-13 2021-01-27",86.51,8.34,450,"1992-01-13 2021-01-27",-1.75,6.02,450,"1992-01-13 2021-01-27",30.29,10.33,450,"1992-01-13 2021-01-27",-13.16,7.77,450,"1992-01-13 2021-01-27",61.92,11.34,450,"1992-01-13 2021-01-27",-9.62,6.99,450,"1992-01-13 2021-01-27",6.3,5.43,450,"1992-01-13 2021-01-27",1.86,4.37,448,"1992-01-13 2021-01-27",1.03,3.91,448,"1992-01-13 2021-01-27",0.94,2.33,448,"1992-01-13 2021-01-27",6.1,8.8,431,"1992-01-13 2021-01-27",,,,
