ListId,Status ,DaysOnMarket,GrossFloorArea,AdjustedLivingArea,PropertyType,HOAFee,PropertyTax,Bedrooms,Bathrooms,YearBuilt,GarageSpace,Address,Area,City,Province,Latitude,Longitude,ListPrice
13,Available,31,735,647,Condo,2850,3688,2,1,2006,1,3 Bracebridge Ave,Old East York,Toronto,ON,43.697842,-79.317368,599900
14,Available,20,1495,1196,Semi-Detached,3770,5348,3,2,2007,2,#808 - 2167 Lake Shore Blvd,Parkdale,Toronto,ON,43.635578,-79.441345,870000
15,Available,29,618,544,Condo,2920,3012,1,1,2016,1,#2706 - 2167 Lake Shore Blvd,Parkdale,Toronto,ON,43.635578,-79.441345,490000
16,Available,48,595,524,Condo,2490,4954,1,1,2013,1,#710 - 1080 Bay St,Downtown,Toronto,ON,43.666794,-79.388756,805900
17,Available,100,1929,1543,Detached,3630,5963,4,3,2000,2,#A - 753 Shaw St,Midtown Toronto,Toronto,ON,43.662872,-79.423233,970000
18,Available,23,798,702,Condo,2930,3381,2,1,2011,1,160 Jenkinson Way,Dorset Park,Toronto,ON,43.749599,-79.270844,549900
19,Available,108,748,658,Condo,2960,5226,2,1,2007,1,40 Hawthorne Rd,Richview,Toronto,ON,43.692314,-79.552635,850000
20,Available,84,1864,1491,Detached,3700,5828,4,3,1996,2,#4905 - 16 Harbour St,Downtown,Toronto,ON,43.642578,-79.3769,948000
21,Available,109,582,512,Condo,2330,2023,1,1,2011,1,166 Mcnicoll Ave,Hillcrest Village,Toronto,ON,43.79948,-79.357445,329000
22,Available,15,803,707,Condo,3170,4150,2,1,2005,1,430 Military Tr,Morningside,Toronto,ON,43.788639,-79.207932,675000
23,Available,52,776,683,Condo,3060,3154,2,1,2009,1,67 Montressor Dr,St. Andrew - Windfields,Toronto,ON,43.759003,-79.392075,513000
24,Available,53,763,671,Condo,3330,3012,2,1,2012,1,46 Bruce Farm Dr,Bayview Woods - Steeles,Toronto,ON,43.799358,-79.377914,490000
25,Available,95,2024,1619,Detached,3480,5834,4,3,1994,2,#1215 - 2627 Mccowan Rd,Agincourt,Toronto,ON,43.807091,-79.265533,949000
26,Available,111,507,446,Condo,2990,1998,1,1,2009,1,247 Westmount Ave,St. Clair West Village,Toronto,ON,43.68227,-79.44339,325000
27,Available,24,1725,1380,Detached,3720,3073,4,3,2002,2,31 Yorkshire Rd,Ionview,Toronto,ON,43.740097,-79.273987,499900
28,Available,55,595,524,Condo,2880,3682,1,1,2009,1,34 Ordway Rd,Kennedy Park,Toronto,ON,43.733814,-79.25,599000
29,Available,68,1563,1250,Semi-Detached,3560,5225,3,2,2005,2,47 Waterbeach Cres,Rexdale,Toronto,ON,43.726189,-79.582047,849900
30,Available,34,588,517,Condo,2240,4291,1,1,2019,1,2 Moraine Hill Dr,Tam O'Shanter,Toronto,ON,43.774624,-79.298141,698000
31,Available,117,804,708,Condo,3180,1506,2,1,2012,1,11 Mid Pines Rd,Woburn,Toronto,ON,43.769413,-79.211456,245000
32,Available,111,753,663,Condo,2460,2766,2,1,2013,1,#1002 - 61 Richview Rd,Humber Heights - Westmount,Toronto,ON,43.68417,-79.516685,450000
33,Available,92,1607,1286,Semi-Detached,3640,4580,3,2,2008,2,20 Shrewsbury Sq,Tam O'Shanter - Sullivan,Toronto,ON,43.772118,-79.309311,745000
34,Available,82,798,702,Condo,2570,2078,2,1,2011,1,#18 - 170 Wickson Tr,Malvern,Toronto,ON,43.805099,-79.21196,338000
35,Available,87,724,637,Condo,3190,4302,2,1,2008,1,6 Willesden Rd,Don Valley Village,Toronto,ON,43.792187,-79.365669,699800
36,Available,11,541,476,Condo,2890,3842,1,1,2011,1,#2705 - 70 Temperance St,Downtown,Toronto,ON,43.650372,-79.382347,625000
37,Available,65,1655,1324,Semi-Detached,3450,3228,3,2,2002,2,37 Chapel Park Sq,Milliken,Toronto,ON,43.821087,-79.314796,525000
38,Available,117,528,465,Condo,2240,2146,1,1,2018,1,49 Cadillac Ave,Wilson Heights,Toronto,ON,43.734875,-79.441017,349000
39,Available,88,1329,1063,Semi-Detached,3500,4795,3,2,2007,2,#711 - 16 Harrison Garden Blvd,Willowdale,Toronto,ON,43.757698,-79.409042,780000
40,Available,29,1644,1315,Detached,3420,5963,4,3,1994,2,#3711 - 11 Brunel Crt,Downtown,Toronto,ON,43.6395,-79.393425,970000
41,Available,67,2775,2220,Detached,3500,4610,5,4,1996,3,4 Danube Dr,Wexford - Maryvale,Toronto,ON,43.742485,-79.296707,749900
42,Available,120,544,479,Condo,2710,2576,1,1,2013,1,#1209 - 35 Finch Ave,Willowdale,Toronto,ON,43.779987,-79.412735,419000
43,Available,11,1882,1506,Detached,3410,4886,4,3,1996,2,61 Mayland Tr,Hamilton,Hamilton,ON,43.19001,-79.774529,399900
44,Available,70,635,559,Condo,2280,4020,1,1,2013,1,48 Evans St,Central Hamilton,Hamilton,ON,43.25713,-79.855667,329000
45,Available,35,550,484,Condo,2570,4215,1,1,2009,1,397 East 21st St,Burkholme,Hamilton,ON,43.228962,-79.857834,345000
46,Available,119,578,509,Condo,2430,2627,1,1,2016,1,412 Wilson Ave,Central Hamilton,Hamilton,ON,43.254719,-79.851631,215000
47,Available,380,596,524,Condo,2770,5497,1,1,2010,1,312 WEXFORD AVE S,Delta East,Hamilton,ON,43.232216,-79.816681,449900
48,Available,95,877,772,Condo,2800,2809,2,1,2009,1,532 FERGUSON AVE N,North End East,Hamilton,ON,43.27071,-79.854385,229900
49,Available,59,569,501,Condo,2850,3042,1,1,2018,1,52 WILLIAM Street,Landsdale,Hamilton,ON,43.260704,-79.845901,249000
50,Available,53,556,489,Condo,2710,7148,1,1,2013,1,5 WEST - 174 MOUNTAIN PARK Avenue,East Hamilton,Hamilton,ON,43.242687,-79.852043,585000
51,Available,76,835,735,Condo,2610,4886,2,1,2009,1,374 BERKINDALE Drive,Riverdale East,Hamilton,ON,43.226192,-79.744423,399900
52,Available,104,1496,1197,Semi-Detached,3740,7331,3,2,2000,2,15 JOHN Street,Central Hamilton,Hamilton,ON,43.25642,-79.86644,600000
53,Available,42,1872,1498,Detached,3670,8712,4,3,2002,2,15 JOHN Street,Central Hamilton,Hamilton,ON,43.25642,-79.86644,713000
54,Available,112,840,739,Condo,2960,2931,2,1,2010,1,50 ARMSTRONG Avenue,McQuesten West,Hamilton,ON,43.235504,-79.781685,239900
55,Available,17,769,677,Condo,2530,3409,2,1,2009,1,259 STRATHEARNE Avenue,Homeside,Hamilton,ON,43.244816,-79.797966,279000
56,Available,111,816,718,Condo,3280,2937,2,1,2013,1,210 1490 Bishops Gate,Glen Abbey,Oakville,ON,43.439903,-79.739502,399900
57,Available,74,1748,1398,Detached,3540,4773,4,3,1999,2,87 CHISHOLM ST,Oakville,Oakville,ON,43.441227,-79.672119,649900
58,Available,45,1365,1092,Semi-Detached,3730,7256,3,2,2004,2,6 1267 Dorval Drive,Oakville,Oakville,ON,43.449455,-79.711067,988000
59,Available,39,559,492,Condo,2880,1681,1,1,2014,1,3153 OLD BRONTE RD N,Oakville,Oakville,ON,43.439838,-79.781158,228888
60,Available,119,643,566,Condo,2710,2203,1,1,2014,1,121 ELTON PARK Road,Oakville,Oakville,ON,43.45615,-79.658463,300000
61,Available,105,896,788,Condo,3000,826,2,1,2006,1,144 Kerr Street,Kerr Village,Oakville,ON,43.440445,-79.676041,112500
62,Available,71,1676,1341,Detached,3660,4774,4,3,1994,2,2491 Hemmford Drive,West Oak Trails,Oakville,ON,43.426399,-79.758904,650000
63,Available,57,753,663,Condo,3240,3223,2,1,2013,1,104 2338 Taunton Drive,Uptown Core,Oakville,ON,43.481838,-79.71537,438888
64,Available,15,636,560,Condo,2790,2196,1,1,2009,1,447 DRUMMOND Road,Oakville,Oakville,ON,43.471046,-79.662132,299000
65,Available,113,1318,1054,Semi-Detached,3600,2523,3,2,2003,2,#427 - 2480 PRINCE MICHAEL DR,Oakville,Oakville,ON,43.497147,-79.707939,343500
66,Available,96,729,642,Condo,3150,1395,2,1,2004,1,493 DUNDAS ST,Oakville,Oakville,ON,43.466911,-79.745033,190000
67,Available,62,841,740,Condo,3240,2203,2,1,2012,1,3169 Trailside Drive,Oakville,Oakville,ON,43.470753,-79.747871,299900
68,Available,65,883,777,Condo,2790,6603,2,1,2008,1,2482 Felhaber Crescent,Oakville,Oakville,ON,43.49506,-79.709579,899000
69,Available,84,822,723,Condo,2810,4605,2,1,2013,1,9 Struthers St,Mimico,Toronto,ON,43.609005,-79.496078,749000
70,Available,84,837,737,Condo,2810,3995,2,1,2008,1,1574 Pharmacy Ave,Wexford - Maryvale,Toronto,ON,43.763866,-79.312263,649900
71,Available,11,556,489,Condo,2370,3661,1,1,2017,1,26 Waterbury Dr,Richview,Toronto,ON,43.687061,-79.571083,595500
72,Available,93,850,748,Condo,2510,1933,2,1,2008,1,44 Dewlane Dr,Newtonbrook,Toronto,ON,43.787003,-79.441383,314500
73,Available,103,1219,975,Semi-Detached,3870,1918,3,2,2005,2,#3010 - 65 St  Mary St,Downtown,Toronto,ON,43.666897,-79.389038,312000
74,Available,30,1553,1242,Semi-Detached,3610,4364,3,2,2008,2,1 Silbury Dr,Agincourt,Toronto,ON,43.809811,-79.263359,709900
75,Available,118,514,452,Condo,2850,3688,1,1,2018,1,1465A Birchmount Rd,Dorset Park,Toronto,ON,43.755791,-79.28788,599900
76,Available,26,2136,1709,Detached,3700,5072,4,3,2001,2,85 Autumn Glen Circ,Rexdale,Toronto,ON,43.733597,-79.608871,825000
77,Available,13,1696,1357,Semi-Detached,3880,4605,3,2,2008,2,143 Princess Margaret Blvd,Princess Margaret,Toronto,ON,43.666405,-79.553543,749000
78,Available,35,515,453,Condo,2180,1294,1,1,2010,1,#9 - 42 Pinery Tr,Malvern,Toronto,ON,43.807106,-79.227829,210500
79,Available,108,1484,1187,Semi-Detached,3840,4230,3,2,1999,2,175 Haddington Ave,Nortown,Toronto,ON,43.733734,-79.425026,688000
80,Available,75,881,775,Condo,3070,2336,2,1,2011,1,## 911 - 5 Shady Gfwy,Flemingdon Park,Toronto,ON,43.717915,-79.326309,379900
81,Available,115,1755,1404,Detached,3620,1844,4,3,2003,2,#1805 - 16 Harrison Garden Blvd,Willowdale,Toronto,ON,43.757698,-79.409042,299900
82,Available,88,794,699,Condo,2820,2415,2,1,2007,1,68 Kenilworth Ave,The Beach,Toronto,ON,43.668091,-79.301514,392900
83,Available,27,561,494,Condo,2710,2458,1,1,2014,1,#1505 - 125 Western Battery Rd,Niagara,Toronto,ON,43.639946,-79.416664,399900
84,Available,50,809,712,Condo,2840,1998,2,1,2009,1,110 Kirker Ave,Woburn,Toronto,ON,43.759617,-79.206642,325000
85,Available,17,588,517,Condo,3100,3000,1,1,2009,1,138 Mckee Ave,Willowdale,Toronto,ON,43.774734,-79.405685,488000
86,Available,93,4129,3303,Detached,3580,3369,5,4,1994,3,#2403 - 375 King St,Downtown,Toronto,ON,43.645641,-79.392952,548000
87,Available,71,1500,1245,Townhouse,3200,4230,3,2,2005,2,22 Strathearn Blvd,Midtown Toronto,Toronto,ON,43.691135,-79.415573,688000
88,Available,16,612,539,Condo,2040,1933,1,1,2017,1,5051 Finch Ave,Bridlewood,Toronto,ON,43.796768,-79.315636,314500
89,Available,80,1693,1354,Detached,3800,1900,4,3,2002,2,#406 - 300 Manitoba St,Mimico,Toronto,ON,43.62421,-79.489449,309000
90,Available,100,3608,2886,Detached,3640,2269,6,4,1989,3,#1901 - 231 Fort York Blvd,Niagara,Toronto,ON,43.636837,-79.406052,369000
91,Available,63,1709,1367,Detached,3840,2582,4,3,2001,2,#1010 - 65 East Liberty St,Liberty Village,Toronto,ON,43.638054,-79.414818,420000
92,Available,56,868,764,Condo,3080,3891,2,1,2009,1,#3706 - 15 Fort York Blvd,Downtown,Toronto,ON,43.640057,-79.393967,633000
93,Available,52,1582,1266,Semi-Detached,3450,2637,3,2,2005,2,#203 - 17 Kenaston Gdns,Bayview Village,Toronto,ON,43.766094,-79.385582,429000
94,Available,91,642,565,Condo,2960,3437,1,1,2011,1,#502 - 2 Anndale Dr,Willowdale,Toronto,ON,43.760464,-79.410248,559000
95,Available,48,1982,1586,Detached,3550,4303,4,3,1997,2,1060 Midland Ave,Bendale,Toronto,ON,43.744205,-79.262428,699900
96,Available,33,787,693,Condo,2870,1937,2,1,2012,1,#701 - 3 Massey Sq,Old East York,Toronto,ON,43.696827,-79.293411,315000
97,Available,40,621,546,Condo,2480,2631,1,1,2010,1,#711 - 33 Singer Crt,Bayview Village,Toronto,ON,43.769611,-79.368416,428000
98,Available,97,821,722,Condo,2450,1924,2,1,2009,1,70 Dundalk Dr,Dorset Park,Toronto,ON,43.769642,-79.286133,313000
99,Available,44,517,455,Condo,2460,2144,1,1,2015,1,#1127 - 5 Everson Dr,Willowdale,Toronto,ON,43.757408,-79.406853,348800
100,Available,33,700,616,Condo,2610,1905,2,1,2010,1,#1501 - 3050 Ellesmere Rd,Morningside,Toronto,ON,43.786037,-79.197723,309900
101,Available,36,1762,1410,Semi-Detached,3670,6080,3,2,2000,2,112 Helendale Ave,Midtown Toronto,Toronto,ON,43.708542,-79.402115,989000
102,Available,21,1817,1454,Detached,3690,2741,4,3,1997,2,#2004 - 21 Balmuto St,Downtown,Toronto,ON,43.669151,-79.387375,445900
103,Available,68,650,572,Condo,2770,1967,1,1,2011,1,#707 - 5 Rowntree Rd,Rexdale,Toronto,ON,43.74955,-79.58075,319901
104,Available,55,884,778,Condo,3080,3228,2,1,2009,1,255 Seaton St,Downtown,Toronto,ON,43.660812,-79.370216,525000
105,Available,92,854,752,Condo,2640,4297,2,1,2008,1,45 Valhalla Blvd,Birch Cliff,Toronto,ON,43.688419,-79.267677,699000
106,Available,113,890,783,Condo,3060,3197,2,1,2006,1,#917 - 103 The Queensway Ave,Swansea,Toronto,ON,43.636292,-79.470467,520000
107,Available,80,1207,966,Semi-Detached,3480,1260,3,2,2008,2,#512 - 35 Bastion St,Niagara,Toronto,ON,43.637207,-79.403572,205000
108,Available,67,828,729,Condo,2420,2458,2,1,2011,1,102 Mcgillivray Ave,Nortown,Toronto,ON,43.736374,-79.430412,399900
109,Available,114,646,568,Condo,2340,1844,1,1,2012,1,1 Axsmith Cres,Don Valley Village,Toronto,ON,43.78788,-79.351738,300000
110,Available,79,640,563,Condo,2800,1998,1,1,2011,1,#1912 - 62 Forest Manor Rd,Henry Farm,Toronto,ON,43.773922,-79.345726,325000
111,Available,49,1268,1014,Semi-Detached,3710,2766,3,2,2002,2,14 Rosemount Dr,Ionview,Toronto,ON,43.732124,-79.275276,450000
112,Available,102,529,466,Condo,2770,2146,1,1,2010,1,9 Isaac Devins Blvd,Humberlea,Toronto,ON,43.729229,-79.534203,349000
113,Available,63,1701,1361,Semi-Detached,3440,2551,3,2,2007,2,#2202 - 88 Grangeway Ave,Woburn,Toronto,ON,43.773827,-79.250023,415000
114,Available,30,1504,1203,Detached,3600,1967,4,3,2001,2,#3601 - 2220 Lakeshore Blvd,Mimico,Toronto,ON,43.62273,-79.483192,320000
115,Available,50,802,706,Condo,3240,2548,2,1,2011,1,#320 - 18 William Carson Cres,York Mills,Toronto,ON,43.749531,-79.407188,414500
116,Available,76,859,756,Condo,2440,2945,2,1,2008,1,#537 - 665 Kennedy Rd,Scarborough Junction,Toronto,ON,43.72599,-79.265015,479000
117,Available,72,1891,1513,Detached,3770,4998,4,3,2002,2,#2112 - 4968 Yonge St,Lansing,Toronto,ON,43.765152,-79.412277,813000
118,Available,87,1925,1540,Detached,3710,2822,4,3,1998,2,#2709 - 70 Temperance St,Downtown,Toronto,ON,43.650372,-79.382347,459000
119,Available,94,2191,1753,Detached,3880,5072,4,3,2001,2,179 Carolbreen Sq,Milliken,Toronto,ON,43.807594,-79.28289,825000
120,Available,33,578,509,Condo,2980,2520,1,1,2018,1,#2708 - 5168 Yonge St,Willowdale,Toronto,ON,43.769829,-79.413467,409900
121,Available,65,616,542,Condo,3370,3105,1,1,2014,1,#1003 - 763 Bay St,Downtown,Toronto,ON,43.660103,-79.385086,505000
122,Available,118,820,722,Condo,3400,3566,2,1,2012,1,#1905 - 17 Anndale Dr,Willowdale,Toronto,ON,43.760136,-79.40789,580000
123,Available,64,549,483,Condo,3060,2644,1,1,2017,1,#303 - 5229 Dundas St,Islington - City Centre West,Toronto,ON,43.639355,-79.536949,430000
124,Available,32,875,770,Condo,3040,3228,2,1,2005,1,#1509 - 88 Alton Towers Circ,Toronto,Toronto,ON,43.824669,-79.274445,525000
125,Available,94,5379,4303,Detached,3660,3725,6,4,1989,3,#2002 - 2 Anndale Dr,Willowdale,Toronto,ON,43.760464,-79.410248,605900
126,Available,35,750,660,Condo,3020,3381,2,1,2013,1,#613 - 4064 Lawrence Ave,West Hill,Toronto,ON,43.76638,-79.197601,550000
127,Available,30,733,645,Condo,2880,3074,2,1,2009,1,#901 - 2756 Old Leslie St,Bayview Village,Toronto,ON,43.769722,-79.36692,500000
128,Available,35,540,475,Condo,2640,2367,1,1,2013,1,1571-73 Bayview Ave,Leaside,Toronto,ON,43.7057,-79.374969,385000
129,Available,83,6767,5414,Detached,3710,21455,7,7,1972,4,#Main Fl - 454 Bloor St,Midtown Toronto,Toronto,ON,43.66571,-79.409096,3490000
130,Available,67,613,539,Condo,3180,2441,1,1,2012,1,1571-73 Bayview Ave,Leaside,Toronto,ON,43.7057,-79.374969,397000
131,Available,91,618,544,Condo,3300,2889,1,1,2019,1,#2016 - 155 Beecroft Rd,Willowdale,Toronto,ON,43.765537,-79.413155,469900
132,Available,27,732,644,Condo,3380,2613,2,1,2009,1,#403 - 35 Brian Peck Cres,Leaside,Toronto,ON,43.714638,-79.35463,425000
133,Available,108,810,713,Condo,3220,3166,2,1,2005,1,#1016 - 35 Bales Ave,Willowdale,Toronto,ON,43.760181,-79.408218,515000
134,Available,21,1465,1172,Semi-Detached,3560,3842,3,2,2004,2,88 Twenty Sixth St,Long Branch,Toronto,ON,43.600151,-79.526192,625000
135,Available,109,1621,1297,Semi-Detached,3760,2698,3,2,2008,2,#729 - 39 Queens Quay Way,Downtown,Toronto,ON,43.641346,-79.372421,438800
136,Available,112,739,650,Condo,2680,3566,2,1,2004,1,22 Norman Wesley Way,Downsview,Toronto,ON,43.743221,-79.488487,579999
137,Available,65,848,746,Condo,2590,2398,2,1,2007,1,25 Parkland Rd,Birch Cliff,Toronto,ON,43.685295,-79.281013,390000
138,Available,118,706,621,Condo,2770,2766,2,1,2012,1,2 La Rush Dr,Humber Heights - Westmount,Toronto,ON,43.691578,-79.516853,450000
139,Available,93,788,693,Condo,3290,4303,2,1,2013,1,30 Exeter St,Carleton Village,Toronto,ON,43.673656,-79.455894,699900
140,Available,93,1741,1393,Semi-Detached,3610,3676,3,2,2000,2,#305 - 9 Burnhamthorpe Cres,Islington,Toronto,ON,43.649681,-79.530716,598000
141,Available,52,3179,2543,Detached,4310,8361,5,4,1995,3,#Loft 2 - 2B Minto St,Leslieville,Toronto,ON,43.663742,-79.324966,1360000
142,Available,111,579,510,Condo,3400,2644,1,1,2012,1,#815 - 39 Queens Quay Way,Downtown,Toronto,ON,43.641346,-79.372421,430000
143,Available,64,1725,1380,Semi-Detached,3550,2152,3,2,2007,2,#716 - 169 Fort York Blvd,Niagara,Toronto,ON,43.638512,-79.400894,350000
144,Available,46,544,479,Condo,3190,1567,1,1,2019,1,#1605 - 61 Markbrook Lane,Rexdale,Toronto,ON,43.759262,-79.585342,254900
145,Available,70,516,454,Condo,3090,1875,1,1,2010,1,#1 - 105 Heath St,Midtown Toronto,Toronto,ON,43.689011,-79.400002,305000
146,Available,33,1553,1242,Semi-Detached,3770,5121,3,2,2004,2,#514 - 210 Simcoe St,Downtown,Toronto,ON,43.652451,-79.388931,833000
147,Available,66,1921,1537,Detached,3630,3443,4,3,2002,2,#724 - 2885 Bayview Ave,Bayview Village,Toronto,ON,43.767937,-79.387955,559999
148,Available,119,1605,1284,Semi-Detached,3420,2072,3,2,2005,2,#402 - 323 Richmond St,Old Town,Toronto,ON,43.653217,-79.368378,337000
149,Available,116,750,660,Condo,3340,2822,2,1,2011,1,90 Browning Ave,Riverdale,Toronto,ON,43.682064,-79.353073,459000
150,Available,24,606,533,Condo,2990,2693,1,1,2010,1,#3307 - 21 Widmer St,Downtown,Toronto,ON,43.647224,-79.391098,438000
151,Available,20,598,526,Condo,2750,2028,1,1,2016,1,#1108 - 55 Bamburgh Circ,Steeles,Toronto,ON,43.814667,-79.326698,329900
152,Available,19,1909,1527,Detached,3660,5219,4,3,1999,2,42 Rovinelli Rd,Malvern,Toronto,ON,43.815105,-79.217415,849000
153,Available,53,3115,2492,Detached,4110,2398,5,4,1998,3,#907 - 5791 Yonge St,Newtonbrook,Toronto,ON,43.784409,-79.416061,389999
154,Available,98,767,675,Condo,2640,4303,2,1,2007,1,592 The Queensway,The Queensway,Toronto,ON,43.628426,-79.49398,699900
155,Available,74,821,722,Condo,2700,2777,2,1,2013,1,44 Barkwood Cres,Hillcrest Village,Toronto,ON,43.805328,-79.355812,451700
156,Available,96,745,656,Condo,3050,3228,2,1,2009,1,#3006 - 121 Mcmahon Dr,Bayview Village,Toronto,ON,43.767746,-79.370918,525000
157,Available,31,541,476,Condo,3170,1966,1,1,2015,1,#2604 - 1 King St,Weston,Toronto,ON,43.701572,-79.520187,319800
158,Available,112,554,488,Condo,3010,3443,1,1,2010,1,#713 - 15 Greenview Ave,Newtonbrook,Toronto,ON,43.78017,-79.418251,560000
159,Available,79,1695,1356,Semi-Detached,3680,2760,3,2,1999,2,#1711 - 45 Charles St,Downtown,Toronto,ON,43.668777,-79.383995,448888
160,Available,112,1747,1398,Detached,3550,2453,4,3,1999,2,#2011 - 215 Fort York Blvd,Niagara,Toronto,ON,43.636345,-79.404808,399000
161,Available,16,574,505,Condo,3340,4334,1,1,2016,1,#4004 - 21 Grenville St,Downtown,Toronto,ON,43.661793,-79.384506,704900
162,Available,34,3383,2706,Detached,3810,2391,5,4,1996,3,#1310 - 8 Mercer St,Downtown,Toronto,ON,43.645985,-79.389938,389000
163,Available,96,567,499,Condo,3110,2355,1,1,2018,1,#201 - 3 Pemberton Ave,Newtonbrook,Toronto,ON,43.780453,-79.413811,383000
164,Available,21,1792,1434,Detached,3750,3560,4,3,1999,2,#1103 - 3 Marine Parade Dr,Mimico,Toronto,ON,43.630383,-79.476273,579000
165,Available,15,590,519,Condo,2600,2453,1,1,2016,1,61 Boydwood Lane,Rouge,Toronto,ON,43.806259,-79.158813,399000
166,Available,48,866,762,Condo,2580,3658,2,1,2012,1,75 Highland Cres,York Mills,Toronto,ON,43.743626,-79.391846,595000
167,Available,66,589,518,Condo,3030,2023,1,1,2018,1,#816 - 210 Victoria St,Downtown,Toronto,ON,43.654648,-79.37925,329000
168,Available,37,571,502,Condo,2730,3996,1,1,2009,1,17 Tineta Cres,White Haven,Toronto,ON,43.786873,-79.256088,650000
169,Available,114,1796,1437,Semi-Detached,3490,2207,3,2,2005,2,#612 - 800 Lawrence Ave,Lawrence Heights,Toronto,ON,43.714592,-79.452911,359000
170,Available,108,793,698,Condo,3090,3996,2,1,2012,1,#5 - 1500 Bathurst St,Casa Loma,Toronto,ON,43.684158,-79.419075,650000
171,Available,77,856,753,Condo,2750,3216,2,1,2008,1,16 Stanley Avenue,Bridgeport East,Kitchener,ON,43.482586,-80.470451,289500
172,Available,48,757,666,Condo,2900,8330,2,1,2011,1,548 Pinnacle Drive,Doon South,Kitchener,ON,43.377377,-80.413368,749900
173,Available,41,2165,1732,Detached,3760,3109,4,3,2003,2,198 Newbury Drive,Forest Heights,Kitchener,ON,43.423267,-80.549805,279900
174,Available,19,1598,1278,Detached,3700,3771,4,3,2002,2,1110 Fairway Road,Grand River South,Kitchener,ON,43.44854,-80.402138,339500
175,Available,17,792,697,Condo,2510,3276,2,1,2013,1,468 Doon South Drive,Doon South,Kitchener,ON,43.378914,-80.432083,294900
176,Available,81,3080,2464,Detached,3910,5054,5,4,1995,3,202 Silver Aspen Crescent,Forest Heights,Kitchener,ON,43.423897,-80.525352,455000
177,Available,10,864,760,Condo,2660,2655,2,1,2005,1,205 Highland Crescent,Victoria Hills,Kitchener,ON,43.433254,-80.523178,239000
178,Available,10,1633,1306,Semi-Detached,3410,1443,3,2,2006,2,24 Mooregate Crescent,Victoria Hills,Kitchener,ON,43.439213,-80.523491,129900
179,Available,35,646,568,Condo,2190,5942,1,1,2016,1,92 Claycroft Crescent,Forest Heights,Kitchener,ON,43.423058,-80.536461,534888
180,Available,36,596,524,Condo,3150,3649,1,1,2012,1,84 Bagot St,Onward Willow,Guelph,ON,43.541809,-80.267944,319900
181,Available,78,873,768,Condo,3400,3580,2,1,2008,1,326 Cole Rd,Hanlon Creek,Guelph,ON,43.508049,-80.234413,313900
182,Available,27,3688,2950,Detached,3430,6443,6,4,1993,3,33 Old Colony Tr,Guelph,Guelph,ON,43.509789,-80.240356,564900
183,Available,22,610,537,Condo,2680,5017,1,1,2018,1,47 Edgehill Dr,Exhibition Park,Guelph,ON,43.552586,-80.270058,439900
184,Available,43,582,512,Condo,2510,2280,1,1,2012,1,150 Victoria Rd,Guelph,Guelph,ON,43.563442,-80.240593,199905
185,Available,38,1539,1231,Semi-Detached,3840,3758,3,2,2008,2,183 ARTHUR ST N,Waverley,Guelph,ON,43.550434,-80.251793,329500
186,Available,68,1652,1322,Semi-Detached,3660,4424,3,2,2005,2,96 Silurian Drive,Grange Hill East,Guelph,ON,43.565311,-80.217117,387900
187,Available,111,870,766,Condo,3240,3877,2,1,2004,1,76 Washburn Drive,Grange Hill East,Guelph,ON,43.572025,-80.231163,339900
188,Available,42,723,636,Condo,2690,5701,2,1,2010,1,110 SIMMONDS Drive,Waverley,Guelph,ON,43.580765,-80.265869,499900
